,EIN,CYCLE,DLN,NTEEIRS,TAXPER,STYEAR,CONT,DUES,SECUR,SALESEXP,INVINC,SOLICIT,GOODS,GRPROF,SALES,GRINC,GRREC,EXPS,FUNDBAL,COMPENS,FUNDFEES,ASS_BOY,ASS_EOY,LIAB_BOY,LIAB_EOY,RETEARN,POLPURP,LEGEXP,GRROOT,INFLEXP,EXGRROOT,EXLOBEXP,RENTEXP,DIREXP,PROGREV,FUNDINC,OTHINC,VERIFY,TOTREV,TOTREV2,NETRENT,SALESECN,SALEOTHG,SALEOTHE,SALEOTHN,SPEVTG,INVENTG,NETINC,OTHCHGS,OTHSAL,PAYTAX,BOND_BOY,BOND_EOY,MRTG_BOY,MRTG_EOY,NETA_BOY,INITFEES,GRRECPUB,GRRECMEM,GRRECOTH,SAVINT,SECINC,RENTINC,OTHINVST,LOBOTH,LOBNOTAX,GRTNONTX,CONT4,DUES4,GRREC4,INVINC4,TAXREV4,GVTSRV4,OTHINC4,INCPURP4,SUBSECCD,REASON,TOTLOB,RETE_BOY,ACTIV,CODE990,FISYR,Q78A,ZIP,ZIP5,NCCSKEY,NCCSKEY2,ACCPER,ACTIV1,ACTIV2,ACTIV3,ADDRESS,AFCD,ARED,CITY,CLASSCD,CONTACT,DEDUCTCD,DISTRICT,FNDNCD,FRCD,GEN,NAME,ORGCD,RULEDATE,SEC_NAME,STATE,SOURCE,RASCD,RREVCD,RINCCD,REXPCD,NteeOldB,NTEECC,NteeCC4d,NTEEconf,NTEE1,MajGrpB,NtMaj10,NtMaj5,NtMaj12,OutNCCS,OutReas,Level1,Level2,Level3,Level4,RandNum,FIPS,MSA_NECH,PMSA,NteeFinal,nteeFinal1,DirSupEstimate,DirSupCode,DirSupYr,GovGtEstimate,GovGtCode,GovGtYr,UnaseoyEstimate,UnaseoyCode,UnaseoyYr,NetLandEstimate,NetLandCode,NetLandYr,TempRnaEstimate,TempRnaCode,TempRnaYr,PermRnaEstimate,PermRnaCode,PermRnaYr,nInvLndEstimate,nInvLndCode,nInvLndYr,PayAfflEstimate,PayAfflCode,PayAfflYr,IndSupEstimate,IndSupCode,IndSupYr,LBEBOYEstimate,LBEBOYCode,LBEBOYYr,LONGITUDE,LATITUDE,LEVEL1old20090616,LEVEL2old20090616,LEVEL3old20090616,LEVEL4old20090616,OUTNCCSold20090616,OUTREASold20090616,InvOthEstimate,InvOthCode,InvOthYr,OthAsstEstimate,OthAsstCode,OthAsstYr,InvSecEstimate,InvSecCode,InvSecYr,CashEstimate,CashCode,CashYr
35032,134140412,200720.0,29490118018287.0,A116,200605,2005,724458,0,100000,96969,5940,0,0,0,190063,93094,914521,764241,347123,0,0,362236,347123,0,0,347123,0,0,0,0,0,0,0,68738,0,15385,0,,748814,748814,0,3031,0,0,0,84123,0,-15427,314,39942,3491,0,0,0,0,362236,0,0,0,0,0,5940,0,0,0,0,0,1183843,0,123467,15829,0,0,1323139,1199672,3,7,0,362236,0.0,1.0,2006,N,10019-3211,10019.0,134140412200605,1341404122006,5,0.0,0.0,0.0,200 W 57TH ST STE 803 804,3.0,0.0,NEW YORK,2.0,SUZZANNE FAIRCHILD,1.0,13.0,15.0,10.0,0.0,AMERICAN ASSOCIATES OF THE ROYAL NATIONAL THEATRE INC,1.0,200105.0,,NY,rtf06pc,2.0,3.0,3.0,3.0,,A65,,B,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.343798,36061.0,5602.0,5600.0,A65,A,724458,2,2007.0,0.0,2,2007.0,0.0,2,2007.0,0.0,8,2006.0,0.0,2,2007.0,0.0,2,2007.0,0.0,0,2006.0,0.0,2,2007.0,0.0,2,2007.0,0.0,2,2006.0,-73.9853,40.7652,PC,O,AR,A,IN,,,,,,,,,,,,,
35048,134143498,,29490273173196.0,,200511,2004,8000,0,55762,34800,2291,0,0,0,58053,23253,66053,12100,130925,0,0,121442,130925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,31253,31253,0,20962,0,0,0,0,0,19153,-9670,0,0,0,0,0,0,121442,0,0,0,0,51,2240,0,0,0,0,0,138735,0,0,6726,0,0,145461,145461,3,7,0,0,0.0,,2005,N,10119-2410,10119.0,134143498200511,1341434982005,11,0.0,0.0,0.0,1 PENN PLZ STE 2410,3.0,0.0,NEW YORK,1.0,WOLF WEISMANN CPAS,1.0,13.0,15.0,10.0,0.0,ELAINE AND STEPHEN STAMAS NEW YORK PHILHARMONIC SCHOLARSHIP FUND INC,1.0,200012.0,,NY,core05pc,,,,,,A69,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.326706,36061.0,5602.0,5600.0,A69,A,8000,4,2005.0,0.0,4,2005.0,130925.0,4,2005.0,0.0,8,2005.0,0.0,4,2005.0,0.0,4,2005.0,0.0,0,2005.0,0.0,4,2005.0,0.0,4,2005.0,0.0,2,2005.0,-73.9933,40.7511,PC,O,AR,A,IN,,0.0,6,2001.0,0.0,6,2001.0,113742.0,6,2001.0,17183.0,6,2001.0
35050,134143704,200744.0,29409286077097.0,A62,200612,2006,49156,0,0,0,0,0,0,0,26570,26570,75726,86623,18129,0,0,29491,28129,465,10000,0,0,0,0,0,0,0,0,0,26570,0,0,,75726,75726,0,0,0,0,0,0,0,-10897,0,0,0,0,0,0,0,29026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0.0,1.0,2006,N,10031-2222,10031.0,134143704200612,1341437042006,12,0.0,0.0,0.0,511 W 151ST ST APT C1,3.0,200912.0,NEW YORK,1.0,CAROLE A REID,1.0,13.0,15.0,10.0,0.0,DDJW INCORPORATED,1.0,200511.0,,NY,rtf06pc,1.0,1.0,1.0,1.0,,A62,,B,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.9548760000000001,36061.0,5602.0,5600.0,A62,A,0,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,-73.9468,40.8343,PC,O,AR,A,IN,,,u,,,u,,,u,,,u,
35052,134144006,,29409042035126.0,,200508,2004,27721,0,0,0,0,0,0,0,0,0,27721,7355,21776,0,0,1410,21776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,27721,27721,0,0,0,0,0,0,0,20366,0,0,0,0,0,0,0,1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0.0,,2005,N,10308-1333,10308.0,134144006200508,1341440062005,8,0.0,0.0,0.0,440 LEVERETT AVE,3.0,0.0,STATEN ISLAND,1.0,WILLIAM P DELUCCIO,1.0,13.0,15.0,20.0,0.0,BOROUGH HALL CENTENNIAL RESTORATION CORPORATION,1.0,200101.0,,NY,core05pc,,,,,,A80,,B,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.20229,36085.0,5602.0,5600.0,A80,A,0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,-74.1507,40.5509,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0
35053,134144013,200703.0,29490344024046.0,A65,200512,2005,2610519,0,0,0,3474,379193,0,0,351318,351318,2961837,2241927,10826144,120276,0,10530304,12855344,223011,2029200,0,0,0,0,0,0,0,0,192614,230332,-131814,56712,,2769223,2769223,0,0,0,0,0,60800,0,527296,-8445,364973,33624,0,0,0,1500000,10307293,0,0,0,0,3474,0,0,0,0,0,0,10690196,0,1869596,42674,0,0,12689796,10820200,3,7,0,0,0.0,1.0,2005,N,10012-3159,10012.0,134144013200512,1341440132005,12,0.0,0.0,0.0,155 WOOSTER STREET,3.0,0.0,NEW YORK,2.0,ROBERT M WILSON,1.0,13.0,15.0,10.0,0.0,BYRD HOFFMAN WATER MILL FOUNDATION,1.0,200103.0,,NY,rtf06pc,,4.0,4.0,4.0,,A61,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.37130100000000005,36061.0,5602.0,5600.0,A61,A,2610519,2,2006.0,0.0,2,2006.0,10826144.0,2,2006.0,11770164.0,8,2005.0,0.0,2,2006.0,0.0,2,2006.0,0.0,0,2005.0,0.0,2,2006.0,0.0,2,2006.0,9641372.0,2,2005.0,-73.9979,40.7253,PC,O,AR,A,IN,,0.0,6,2003.0,447401.0,6,2003.0,124201.0,6,2003.0,0.0,6,2003.0
35055,134144191,,29409217063146.0,,200510,2004,36883,0,0,0,0,0,0,0,10600,10600,47483,53176,-2527,0,0,3642,1637,476,4164,0,0,0,0,0,0,0,0,0,10600,0,0,,47483,47483,0,0,0,0,0,0,0,-5693,0,0,0,0,0,0,0,3166,0,0,0,0,0,0,0,0,0,0,0,91978,0,40369,0,0,0,132347,91978,3,7,0,0,0.0,,2005,N,11215-3613,11215.0,134144191200510,1341441912005,10,0.0,0.0,0.0,506 7TH ST 2,3.0,200510.0,BROOKLYN,2.0,KIRK BROMLEY,1.0,11.0,15.0,10.0,0.0,FRIENDS OF INVERSE THEATRE COMPANY INC,1.0,200203.0,,NY,core05pc,,,,,,A1165,65,A,A,A,AR,AR,AR,IN,,PC,S,ZA,A,0.13426300000000002,36047.0,5602.0,5600.0,A1165,A,0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,-73.985,40.6678,PC,S,ZA,A,IN,,0.0,6,2003.0,151.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0
35058,134144394,200724.0,29409139028187.0,A65,200612,2006,90980,0,0,0,0,0,0,0,0,0,90980,65977,31518,0,0,6515,3294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,90980,90980,0,0,0,0,0,0,0,25003,0,0,0,0,0,0,0,6515,0,0,0,0,0,0,0,0,0,0,0,98890,0,26352,0,0,0,125242,98890,3,9,0,0,0.0,1.0,2006,N,11217-1694,11217.0,134144394200612,1341443942006,12,0.0,0.0,0.0,138 S OXFORD ST STE 4C,3.0,0.0,BROOKLYN,2.0,ANDREW IRONS,1.0,11.0,15.0,20.0,0.0,ANDHOW THEATER COMPANY I INC,1.0,200011.0,,NY,rtf06pc,1.0,1.0,1.0,1.0,,A65,,B,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.279238,36047.0,5602.0,5600.0,A65,A,0,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,-73.9794,40.6825,PC,O,AR,A,IN,,,u,,,u,,,u,,,u,
35061,134145003,200720.0,29490118091057.0,A62,200606,2005,76560,0,0,0,4211,21882,0,0,78761,78761,155321,150189,79864,57957,0,81753,87225,7021,7361,0,0,0,0,0,0,0,0,0,67250,7300,0,,155321,155321,0,0,0,0,0,7300,0,5132,0,16081,9100,0,0,0,0,74732,0,0,0,0,4211,0,0,0,0,0,0,364585,0,218560,4196,0,0,587341,368781,3,9,0,0,0.0,1.0,2006,N,10003-8385,10003.0,134145003200606,1341450032006,6,0.0,0.0,0.0,140 2ND AVE STE 501,3.0,0.0,NEW YORK,1.0,ELIZA MILLER,1.0,13.0,16.0,10.0,0.0,LA DONNA DANCE INC,1.0,200110.0,DONNA UCHIZONO COMPANY,NY,rtf06pc,1.0,2.0,2.0,2.0,,A62,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.7139409999999999,36061.0,5602.0,5600.0,A62,A,76560,4,2006.0,0.0,4,2006.0,74860.0,4,2006.0,0.0,8,2006.0,5004.0,4,2006.0,0.0,4,2006.0,0.0,0,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,2,2006.0,-73.9891,40.7316,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,59192.0,6,2003.0
35066,134145549,200728.0,29490175132127.0,A12,200612,2006,30000,0,21016,21925,530,0,0,0,21546,-379,51546,40933,27548,0,0,38860,27548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,29621,29621,0,-909,0,0,0,0,0,-11312,0,0,0,0,0,0,0,38860,0,0,0,0,0,530,0,0,0,0,0,165932,0,0,1949,0,0,167881,167881,3,7,0,0,0.0,1.0,2006,N,10021-4003,10021.0,134145549200612,1341455492006,12,0.0,0.0,0.0,523 E 73RD ST,3.0,200412.0,NEW YORK,1.0,KUPPERSMITH MOTTEL & CO LLP,1.0,13.0,15.0,10.0,0.0,JOHN ROSSELLI FOUNDATION,1.0,200112.0,,NY,rtf06pc,1.0,1.0,1.0,1.0,,A12,,B,A,A,AR,AR,AR,IN,,PC,S,ZB,A,0.9158370000000001,36061.0,5602.0,5600.0,A12,A,30000,6,2003.0,0.0,6,2003.0,27548.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,-73.9597,40.768,PC,S,ZB,A,IN,,0.0,6,2003.0,0.0,6,2003.0,8426.0,6,2003.0,0.0,6,2003.0
35079,134147005,200730.0,29409195217467.0,B92,200612,2006,71406,0,0,0,120,0,0,2412,2532,2532,73938,105079,36406,0,0,70587,36406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,73938,73938,0,0,0,0,0,0,2412,-31142,-3039,0,0,0,0,0,0,70587,0,0,0,0,0,0,0,120,0,0,0,328535,0,7373,0,0,14940,350848,343475,3,9,0,0,0.0,1.0,2006,N,10038-1512,10038.0,134147005200612,1341470052006,12,0.0,0.0,0.0,145 NASSAU ST APT 3-D,3.0,0.0,NEW YORK,2.0,ANNETTE JOHNSON,1.0,13.0,15.0,10.0,0.0,PRISONERS READING ENCOURAGEMENT PROJECT INC,1.0,200104.0,,NY,rtf06pc,1.0,1.0,1.0,2.0,,A70,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.921286,36061.0,5602.0,5600.0,A70,A,0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,-74.0029,40.7088,PC,O,AR,A,IN,,0.0,6,2003.0,1888.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0
35080,134147092,200703.0,29490357273046.0,T30,200607,2005,262504,0,0,0,4494,0,0,0,4494,4494,266998,188630,678586,0,0,646468,725849,46250,47263,0,0,0,0,0,0,0,0,0,0,0,0,,266998,266998,0,0,0,0,0,0,0,78368,0,0,0,0,0,0,0,600218,0,0,0,0,4494,0,0,0,0,0,0,1058482,0,0,6602,0,0,1065084,1065084,3,9,0,0,0.0,1.0,2006,N,10029-6917,10029.0,134147092200607,1341470922006,7,0.0,0.0,0.0,1158 5TH AVE,3.0,0.0,NEW YORK,1.0,HOWARD STEIN,1.0,13.0,15.0,10.0,0.0,PARTNERS OF 63 INC,1.0,200305.0,,NY,rtf06pc,3.0,2.0,2.0,2.0,,A70,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.6767489999999999,36061.0,5602.0,5600.0,A70,A,262504,4,2006.0,0.0,4,2006.0,678586.0,4,2006.0,0.0,8,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,0,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,2,2006.0,-73.9439,40.7917,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,18335.0,6,2003.0
35083,134147293,200729.0,29409181043097.0,A80,200612,2006,70000,0,0,0,94,0,0,0,94,94,70094,70340,12235,0,0,11350,10219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,70094,70094,0,0,0,0,0,0,0,-246,1131,0,0,0,0,0,0,11350,0,0,0,0,0,0,0,94,0,0,0,173180,0,0,297,0,0,173477,173477,3,9,0,0,0.0,1.0,2006,N,10012-5315,10012.0,134147293200612,1341472932006,12,0.0,0.0,0.0,141 PRINCE ST,3.0,0.0,NEW YORK,1.0,ODED HALAHMY,1.0,13.0,15.0,10.0,0.0,AMERICAN FRIENDS OF THE BABYLONIAN JEWRY HERITAGE CENTER INC,1.0,200109.0,,NY,rtf06pc,1.0,1.0,1.0,1.0,,A1180,80,A,A,A,AR,AR,AR,IN,,PC,S,ZA,A,0.486295,36061.0,5602.0,5600.0,A1180,A,0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,-73.9979,40.7253,PC,S,ZA,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0
35091,134148666,,29409077045156.0,,200509,2004,42350,0,0,0,0,0,0,0,0,0,42350,27228,17122,0,0,2100,17122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,42350,42350,0,0,0,0,0,0,0,15122,0,0,0,0,0,0,0,2100,0,0,0,0,0,0,0,0,0,0,0,49450,0,0,0,0,0,49450,49450,3,9,0,0,0.0,,2005,N,10023-7007,10023.0,134148666200509,1341486662005,9,0.0,0.0,0.0,62 W 62ND ST APT 5A,3.0,0.0,NEW YORK,2.0,,1.0,13.0,15.0,20.0,0.0,ALLEGRO MUSIC FOUNDATION LTD,1.0,200208.0,,NY,core05pc,,,,,,A68,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.601954,36061.0,5602.0,5600.0,A68,A,0,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,,u,,-73.9841,40.7761,PC,O,AR,A,IN,,,u,,,u,,,u,,,u,
35093,134148861,200732.0,29409139042147.0,A65,200702,2006,45000,0,0,0,0,0,0,0,12028,12028,57028,44100,12928,0,0,1900,12928,1900,0,0,0,0,0,0,0,0,0,0,12028,0,0,,57028,57028,0,0,0,0,0,0,0,12928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6600,0,47815,0,0,0,54415,6600,3,9,0,0,0.0,1.0,2007,N,10017-2626,10017.0,134148861200702,1341488612007,2,0.0,0.0,0.0,140 E 46TH ST APT 10K,3.0,0.0,NEW YORK,1.0,BARBARA BREGSTEIN,1.0,13.0,16.0,20.0,0.0,EDUCATIONAL THEATER OF NEW YORK,1.0,200105.0,,NY,rtf06pc,1.0,1.0,1.0,1.0,,A65,,B,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.0379216,36061.0,5602.0,5600.0,A65,A,0,,,,,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,,,,0.0,6,2003.0,-73.9728,40.7519,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0
35104,134151217,200733.0,29490216025287.0,A62,200608,2005,114589,0,0,0,0,4320,0,0,1703,1703,116292,117947,2300,0,0,5757,3301,1802,1001,0,0,0,0,0,0,0,0,0,1703,0,0,,116292,116292,0,0,0,0,0,0,0,-1655,0,44873,5618,0,0,0,0,3955,0,0,0,0,0,0,0,0,0,0,0,411505,0,9012,0,0,0,420767,411755,3,7,0,0,0.0,1.0,2006,N,10013-1205,10013.0,134151217200608,1341512172006,8,0.0,0.0,0.0,161 6TH AVE 14TH FLR,3.0,0.0,NEW YORK,2.0,THE FIELD,1.0,13.0,15.0,10.0,0.0,NW & D INC,1.0,200202.0,,NY,rtf06pc,1.0,2.0,2.0,2.0,,A62,,B,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.980691,36061.0,5602.0,5600.0,A62,A,114589,4,2006.0,0.0,4,2006.0,2300.0,4,2006.0,404.0,8,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,0,2006.0,0.0,4,2006.0,0.0,4,2006.0,698.0,2,2006.0,-74.0047,40.7201,PC,O,AR,A,IN,,0.0,6,2003.0,94.0,6,2003.0,0.0,6,2003.0,1163.0,6,2003.0
35113,134153172,200737.0,29490174165037.0,A69,200612,2006,135930,0,0,0,0,45479,0,0,0,0,135930,152471,31189,42062,0,53580,31189,5850,0,31189,0,0,0,0,0,0,0,0,0,0,0,,135930,135930,0,0,0,0,0,0,0,-16541,0,0,28806,0,0,0,0,47730,0,0,0,0,0,0,0,0,0,0,0,359914,0,0,0,0,0,359914,359914,3,9,0,47730,0.0,1.0,2006,N,10019-1409,10019.0,134153172200612,1341531722006,12,0.0,0.0,0.0,230 CENTRAL PARK SOUTH APT 9F,3.0,0.0,NEW YORK,1.0,,1.0,13.0,16.0,10.0,0.0,TEN OCLOCK CLASSICS INC,1.0,200110.0,,NY,rtf06pc,1.0,2.0,2.0,2.0,,A68,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.13242400000000001,36061.0,5602.0,5600.0,A68,A,135930,8,2006.0,0.0,8,2006.0,0.0,8,2006.0,0.0,8,2006.0,0.0,8,2006.0,0.0,8,2006.0,0.0,0,2006.0,0.0,8,2006.0,0.0,8,2006.0,0.0,2,2006.0,-73.9853,40.7652,PC,O,AR,A,IN,,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0
35119,134154262,200729.0,29490188043157.0,A68,200612,2006,55178,0,0,0,10079,5928,0,0,26274,26274,81452,63776,178583,8823,0,176536,181148,2614,2565,0,0,0,0,0,0,0,0,15611,0,0,584,,65841,65841,0,0,0,0,0,15611,0,2065,2596,0,856,0,0,0,0,173922,0,0,0,0,1334,8745,0,0,0,0,0,281749,0,0,5827,0,0,336925,336925,3,9,0,0,0.0,1.0,2006,N,10011-0000,10011.0,134154262200612,1341542622006,12,0.0,0.0,0.0,STE 102,3.0,200512.0,NEW YORK,1.0,BRUCE LEVINGSTON,1.0,13.0,15.0,10.0,0.0,PREMIERE COMMISSION INC,1.0,200106.0,,NY,rtf06pc,2.0,1.0,1.0,1.0,,A68,,B,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.563954,36061.0,5602.0,5600.0,A68,A,55178,4,2006.0,0.0,4,2006.0,178583.0,4,2006.0,9013.0,8,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,0,2006.0,0.0,4,2006.0,0.0,4,2006.0,8773.0,2,2006.0,-73.9997,40.7409,PC,O,AR,A,IN,,0.0,6,2003.0,83741.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0
35123,134154789,200738.0,93490255003167.0,A20,200612,2006,206736,0,0,0,28,4078,0,0,145742,145742,352478,190140,-27390,0,0,127739,196665,193177,224055,0,0,0,0,0,0,0,0,124290,0,21424,0,,228188,228188,0,0,0,0,0,145714,0,38048,0,31667,2775,0,0,0,0,-65438,0,0,0,0,28,0,0,0,0,0,0,375513,5225,353273,30,0,0,837314,484041,3,7,0,0,0.0,1.0,2006,N,10001-5514,10001.0,134154789200612,1341547892006,12,0.0,0.0,0.0,525 W 26TH ST,3.0,0.0,NEW YORK,1.0,JUAN PUNTES,1.0,13.0,15.0,10.0,0.0,WHITE BOX LTD,1.0,200110.0,,NY,rtf06pc,2.0,2.0,2.0,2.0,,A0325,25,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.9761770000000001,36061.0,5602.0,5600.0,A0325,A,202235,4,2006.0,4501.0,4,2006.0,-27390.0,4,2006.0,116047.0,8,2006.0,0.0,4,2006.0,0.0,4,2006.0,0.0,0,2006.0,0.0,4,2006.0,0.0,4,2006.0,75370.0,2,2006.0,-73.9967,40.75,PC,O,AR,A,IN,,0.0,6,2001.0,47298.0,6,2001.0,0.0,6,2001.0,0.0,6,2001.0
35125,134155806,,29490203108126.0,,200512,2005,42658,4874,0,0,0,0,0,0,18447,18447,65979,19061,104525,0,0,65507,104525,0,0,0,0,0,0,0,0,0,0,7900,0,10547,0,,58079,58079,0,0,0,0,0,18447,0,39018,0,0,0,0,0,0,0,65507,0,0,0,0,0,0,0,0,0,0,0,208225,23705,69349,0,0,0,301279,231930,3,9,0,0,0.0,,2005,N,10022-6843,10022.0,134155806200512,1341558062005,12,0.0,0.0,0.0,457 MADISON AVE,3.0,0.0,NEW YORK,1.0,MUNICIPAL ART SOCIETY,1.0,13.0,15.0,10.0,0.0,ASSOCIATES OF THE ART COMMISSION INC,1.0,200111.0,,NY,core05pc,,,,,,A03,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.312325,36061.0,5602.0,5600.0,A03,A,42658,8,2005.0,0.0,8,2005.0,104525.0,8,2005.0,2873.0,8,2005.0,0.0,8,2005.0,0.0,8,2005.0,0.0,0,2005.0,0.0,8,2005.0,0.0,8,2005.0,1755.0,2,2005.0,-73.9679,40.7582,PC,O,AR,A,IN,,0.0,6,2003.0,557.0,6,2003.0,0.0,6,2003.0,100208.0,6,2003.0
35127,134156243,200728.0,29409167002107.0,A6C,200612,2006,12267,1945,0,0,18,0,1196,-648,12304,11108,26516,31984,29646,0,0,36465,31116,155,1470,0,0,0,0,0,0,0,0,0,6919,4819,0,,25320,25320,0,0,0,0,0,4819,548,-6664,0,0,0,0,0,0,0,36310,0,0,0,0,0,0,0,18,0,0,0,60418,6240,85899,45,0,0,152592,66703,3,9,0,0,0.0,1.0,2006,N,10001-6708,10001.0,134156243200612,1341562432006,12,0.0,0.0,0.0,275 7TH AVE FL 18,3.0,0.0,NEW YORK,1.0,,1.0,13.0,16.0,10.0,0.0,NEW YORK CITY LABOR CHORUS INC,1.0,200301.0,,NY,rtf06pc,1.0,1.0,1.0,1.0,,A6B,,A,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.148572,36061.0,5602.0,5600.0,A6B,A,0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0,-73.9967,40.75,PC,O,AR,A,IN,,0.0,6,2003.0,5472.0,6,2003.0,0.0,6,2003.0,0.0,6,2003.0
35143,134158921,,,,200412,2004,0,0,0,0,0,0,0,0,34760,34760,34760,24655,15637,0,0,5532,15637,0,0,15637,0,0,0,0,0,0,0,0,34760,0,0,,34760,34760,0,0,0,0,0,0,0,10105,0,0,0,0,0,0,0,5532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,5532,,,2004,N,10464-1328,10464.0,134158921200412,1341589212004,12,0.0,0.0,0.0,170 TIER ST,3.0,0.0,BRONX,2.0,N GARR,1.0,13.0,15.0,20.0,0.0,CITY THEATRE PROJECT INC,1.0,200104.0,,NY,core05pc,,,,,,A65,,B,A,A,AR,AR,AR,IN,,PC,O,AR,A,0.979201,36005.0,5602.0,5600.0,A65,A,0,,,,,,0.0,4,2004.0,0.0,8,2004.0,0.0,4,2004.0,0.0,4,2004.0,0.0,0,2004.0,0.0,4,2004.0,,,,0.0,2,2004.0,-73.8039,40.8719,PC,O,AR,A,IN,,0.0,6,2002.0,0.0,6,2002.0,0.0,6,2002.0,15637.0,6,2002.0
